Ensembl ID,Gene,#SNP,Internal_R2,Internal_Rho,INTERVAL_Withheld_R2,INTERVAL_Withheld_Rho,INTERVAL_Withheld_MissingRate
ENSG00000225178,,164,0.826,0.914,,,0
ENSG00000176393,RNPEP,71,0.801,0.898,0.708,0.846,0
ENSG00000240342,,86,0.801,0.852,,,0
ENSG00000113504,SLC12A7,103,0.789,0.867,0.716,0.824,0
ENSG00000226752,,249,0.785,0.881,,,0
ENSG00000013573,DDX11,164,0.78,0.835,0.714,0.792,0
ENSG00000237039,,94,0.779,0.827,,,0
ENSG00000227097,,93,0.775,0.821,,,0
ENSG00000160201,U2AF1,67,0.766,0.832,0.717,0.804,0
ENSG00000227615,,220,0.762,0.842,,,0
ENSG00000237550,,250,0.759,0.835,,,0
ENSG00000141560,FN3KRP,212,0.755,0.874,0.662,0.817,0
ENSG00000203875,SNHG5,250,0.753,0.837,0.704,0.789,0
ENSG00000113303,BTNL8,47,0.74,0.836,0.675,0.8,0
ENSG00000231752,,624,0.739,0.837,,,0
ENSG00000137106,GRHPR,129,0.729,0.847,0.669,0.797,0
ENSG00000145214,DGKQ,165,0.728,0.846,0.671,0.821,0
ENSG00000245954,LINC02273,176,0.727,0.853,0.692,0.826,0
ENSG00000112299,VNN1,117,0.724,0.86,0.638,0.793,0
ENSG00000182871,COL18A1,106,0.722,0.846,0.67,0.815,0
ENSG00000171298,GAA,109,0.72,0.848,0.672,0.822,0
ENSG00000133687,TMTC1,180,0.72,0.864,0.607,0.786,0
ENSG00000138801,PAPSS1,141,0.719,0.861,0.617,0.796,0
ENSG00000138744,NAAA,144,0.713,0.856,0.682,0.837,0
ENSG00000225774,,44,0.712,0.815,,,0
ENSG00000164251,F2RL1,131,0.71,0.849,0.642,0.808,0
ENSG00000139044,B4GALNT3,26,0.707,0.817,0.556,0.706,0
ENSG00000071246,VASH1,99,0.705,0.83,0.672,0.823,0
ENSG00000107798,LIPA,74,0.703,0.85,0.576,0.771,0
ENSG00000229644,,123,0.702,0.822,,,0
ENSG00000122674,CCZ1,160,0.702,0.842,0.542,0.74,0
ENSG00000148484,RSU1,73,0.7,0.829,0.634,0.781,0
ENSG00000035115,SH3YL1,119,0.698,0.82,0.611,0.749,0
ENSG00000239335,LLPH-DT,66,0.698,0.825,0.534,0.726,0
ENSG00000135845,PIGC,102,0.698,0.848,0.633,0.811,0
ENSG00000160223,ICOSLG,73,0.697,0.86,0.576,0.787,0
ENSG00000180537,RNF182,106,0.696,0.872,0.596,0.8,0
ENSG00000164978,NUDT2,192,0.696,0.84,0.593,0.772,0
ENSG00000101307,SIRPB1,68,0.695,0.838,0.63,0.798,0
ENSG00000269893,SNHG8,226,0.693,0.831,0.491,0.717,0
ENSG00000005020,SKAP2,161,0.693,0.817,0.651,0.803,0
ENSG00000285535,AC021683.5,75,0.691,0.806,0.619,0.76,0
ENSG00000228981,,99,0.69,0.79,,,0
ENSG00000237945,LINC00649,135,0.69,0.835,0.582,0.769,0
ENSG00000238072,,110,0.689,0.803,,,0
ENSG00000106733,NMRK1,95,0.689,0.839,0.599,0.77,0
ENSG00000038002,AGA,91,0.688,0.834,0.566,0.755,0
ENSG00000130202,NECTIN2,79,0.687,0.829,0.63,0.805,0
ENSG00000108846,ABCC3,87,0.682,0.822,0.587,0.747,0
ENSG00000281162,LINC01127,205,0.679,0.832,0.546,0.729,0
ENSG00000011485,PPP5C,124,0.679,0.817,0.58,0.748,0
ENSG00000231412,AC005392.2,143,0.676,0.824,0.599,0.762,0
ENSG00000267757,EML2-AS1,73,0.673,0.776,0.551,0.706,0
ENSG00000144115,THNSL2,126,0.673,0.822,0.558,0.73,0
ENSG00000109861,CTSC,163,0.672,0.805,0.594,0.756,0
ENSG00000223553,,89,0.672,0.822,,,0
ENSG00000142178,SIK1,113,0.671,0.848,0.599,0.792,0
ENSG00000108405,P2RX1,52,0.671,0.809,0.609,0.761,0
ENSG00000167207,NOD2,118,0.671,0.794,0.621,0.772,0
ENSG00000235655,,188,0.671,0.773,,,0
ENSG00000204644,ZFP57,326,0.668,0.82,0.616,0.784,0
ENSG00000243753,,153,0.665,0.824,,,0
ENSG00000089169,RPH3A,73,0.665,0.825,0.544,0.742,0
ENSG00000248905,FMN1,101,0.664,0.817,0.562,0.759,0
ENSG00000259363,AC090825.1,76,0.664,0.811,0.538,0.732,0
ENSG00000214425,,157,0.664,0.782,,,0
ENSG00000110628,SLC22A18,99,0.663,0.794,0.558,0.706,0
ENSG00000137267,TUBB2A,46,0.662,0.807,0.585,0.765,0
ENSG00000236496,,101,0.662,0.775,,,0
ENSG00000254521,SIGLEC12,109,0.662,0.845,0.604,0.8,0
ENSG00000036448,MYOM2,119,0.659,0.814,0.593,0.757,0
ENSG00000163682,RPL9,187,0.655,0.786,0.448,0.681,0
ENSG00000180011,ZADH2,41,0.654,0.798,0.567,0.749,0
ENSG00000116299,KIAA1324,108,0.652,0.797,0.538,0.727,0
ENSG00000241945,PWP2,132,0.65,0.809,0.599,0.769,0
ENSG00000080573,COL5A3,67,0.65,0.814,0.574,0.762,0
ENSG00000112139,MDGA1,154,0.649,0.815,0.594,0.777,0
