Phecode,Phenotype,Category,Mean Age,#Cases /#Samples,%Female,#SOMAscan Proteins,#Olink Proteins,#Metabolon Metabolites,#Nightingale Metabolites,#RNAseq Gene expression,Download
008,Intestinal infection,infectious diseases,68.06 ± 8.0,723/403874,54%,0,0,0,0,0,https://drive.google.com/file/d/1PEnkPUdxPExlZldicag88DFWNaENneEp/view?usp=drivesdk
008.5,Bacterial enteritis,infectious diseases,68.03 ± 8.01,2706/405920,54%,0,0,0,0,0,https://drive.google.com/file/d/1LM82DXE7lME9CZdvZpCc9oswiJG-vKtU/view?usp=drivesdk
008.52,Intestinal infection due to C. difficile,infectious diseases,68.08 ± 7.96,1092/404327,54%,1,0,0,0,1,https://drive.google.com/file/d/1SA_ZJt4nVnh2Z-dzyF7_p2-X8QCfZgf1/view?usp=drivesdk
008.6,Viral Enteritis,infectious diseases,68.08 ± 7.97,1524/404744,54%,0,0,0,0,1,https://drive.google.com/file/d/1PgYTbv1CX1qalsTm_3pDuKB0brW9_B6a/view?usp=drivesdk
010,Tuberculosis,infectious diseases,67.94 ± 7.97,225/381924,55%,0,0,0,0,0,https://drive.google.com/file/d/1hyIT4tO7YcutUKTxCnbsWHOUAMsCbd68/view?usp=drivesdk
038,Septicemia,infectious diseases,67.96 ± 7.97,8783/391465,54%,0,0,0,0,2,https://drive.google.com/file/d/11ipj1ndEe0xPW-QsOAF0if-F2V-u9iGQ/view?usp=drivesdk
038.1,Gram negative septicemia,infectious diseases,67.95 ± 7.97,2155/384105,54%,0,0,0,0,0,https://drive.google.com/file/d/1LxlKaAEKFCIj4Ks7QQEDZEjpQuVABDMg/view?usp=drivesdk
038.2,Gram positive septicemia,infectious diseases,67.94 ± 7.97,939/382695,54%,0,0,0,0,0,https://drive.google.com/file/d/1tL5j-iDkaM1nppw-rAJ6VEOdLMbD4vXi/view?usp=drivesdk
041,Bacterial infection NOS,infectious diseases,67.81 ± 8.09,9127/391347,54%,0,0,0,0,0,https://drive.google.com/file/d/1zK1rATUkT4qPdvpeD3u1X9GusIKMhTjP/view?usp=drivesdk
041.1,Staphylococcus infections,infectious diseases,67.88 ± 8.02,4759/386717,54%,0,0,0,0,0,https://drive.google.com/file/d/1N45INQXndVRhREKRWd-c4-kwuWyds09a/view?usp=drivesdk
