"PheCode","Phenotype","Category","Trait ID","Platform","Trait Description","Hazard Ratio","FDR adjusted P-value"
"8.52","Intestinal infection due to C. difficile","infectious diseases","CREB3L4.11308.8.3","SomaScan","Cyclic AMP-responsive element-binding protein 3-like protein 4","1.13 (1.07 1.20)","4.04E-2"
"8.52","Intestinal infection due to C. difficile","infectious diseases","ENSG00000137310","RNAseq","TCF19","1.13 (1.07 1.19)","4.04E-2"
"8.6","Viral Enteritis","infectious diseases","ENSG00000198920","RNAseq","KIAA0753","0.89 (0.84 0.93)","4.54E-2"
"38","Septicemia","infectious diseases","ENSG00000255310","RNAseq","AF131215.5","1.05 (1.03 1.07)","4.28E-2"
"38","Septicemia","infectious diseases","ENSG00000253958","RNAseq","CLDN23","1.05 (1.03 1.07)","4.28E-2"
"70.2","Viral hepatitis B","infectious diseases","ENSG00000198829","RNAseq","SUCNR1","1.43 (1.24 1.66)","1.17E-2"
"70.3","Viral hepatitis C","infectious diseases","M37187","Metabolon","5alpha-androstan-3beta,17alpha-diol disulfate","0.78 (0.71 0.86)","2.25E-2"
"70.4","Chronic hepatitis","infectious diseases","PDE4D.5255.22.3","SomaScan","cAMP-specific 3',5'-cyclic phosphodiesterase 4D","0.73 (0.67 0.80)","9.73E-9"
"70.4","Chronic hepatitis","infectious diseases","UAP1.13580.2.3","SomaScan","UDP-N-acetylhexosamine pyrophosphorylase","1.37 (1.24 1.50)","8.36E-8"
"70.4","Chronic hepatitis","infectious diseases","HSD17B14.13972.4.3","SomaScan","17-beta-hydroxysteroid dehydrogenase 14","0.74 (0.67 0.81)","3.42E-7"
"70.4","Chronic hepatitis","infectious diseases","MICB.5102.55.3","SomaScan","MHC class I polypeptide-related sequence B","0.73 (0.67 0.81)","4.02E-7"
"70.4","Chronic hepatitis","infectious diseases","GRIA4.10760.107.3","SomaScan","Glutamate receptor 4","0.75 (0.69 0.82)","5.56E-7"
"70.4","Chronic hepatitis","infectious diseases","FTMT.8048.9.3","SomaScan","Ferritin, mitochondrial","0.76 (0.69 0.83)","5.74E-7"
"70.4","Chronic hepatitis","infectious diseases","ISG15.14148.2.3","SomaScan","Ubiquitin-like protein ISG15","1.36 (1.23 1.50)","8.08E-7"
"70.4","Chronic hepatitis","infectious diseases","CD96.9735.44.3","SomaScan","T-cell surface protein tactile","0.76 (0.70 0.83)","2.47E-6"
"70.4","Chronic hepatitis","infectious diseases","IGHD.IGK.IGL.4916.2.1","SomaScan","Immunoglobulin D","0.75 (0.69 0.83)","2.63E-6"
"70.4","Chronic hepatitis","infectious diseases","MICB.9328.55.3","SomaScan","MHC class I polypeptide-related sequence B","0.73 (0.66 0.81)","4.44E-6"
"70.4","Chronic hepatitis","infectious diseases","CCDC134.5587.3.3","SomaScan","Coiled-coil domain-containing protein 134","1.27 (1.16 1.40)","2.50E-4"
"70.4","Chronic hepatitis","infectious diseases","IL36A.14150.7.3","SomaScan","Interleukin-36 alpha","0.79 (0.72 0.87)","3.34E-4"
"70.4","Chronic hepatitis","infectious diseases","B2M.3485.28.2","SomaScan","Beta-2-microglobulin","1.27 (1.15 1.40)","9.04E-4"
"70.4","Chronic hepatitis","infectious diseases","GALNT1.7090.17.3","SomaScan","Polypeptide N-acetylgalactosaminyltransferase 1","1.24 (1.13 1.37)","1.37E-3"
"70.4","Chronic hepatitis","infectious diseases","CCL19.4922.13.1","SomaScan","C-C motif chemokine 19","0.78 (0.70 0.87)","2.26E-3"
"70.4","Chronic hepatitis","infectious diseases","C2.3186.2.2","SomaScan","Complement C2","1.26 (1.14 1.40)","3.87E-3"
"70.4","Chronic hepatitis","infectious diseases","C4A.C4B.4481.34.2","SomaScan","Complement C4","0.81 (0.73 0.89)","7.89E-3"
"70.4","Chronic hepatitis","infectious diseases","MICA.2730.58.2","SomaScan","MHC class I polypeptide-related sequence A","1.23 (1.11 1.36)","1.42E-2"
"70.4","Chronic hepatitis","infectious diseases","NSF.13992.12.3","SomaScan","Vesicle-fusing ATPase","0.82 (0.74 0.90)","1.56E-2"
"70.4","Chronic hepatitis","infectious diseases","SPATA20.11117.2.3","SomaScan","Spermatogenesis-associated protein 20","0.83 (0.76 0.92)","3.11E-2"
"70.4","Chronic hepatitis","infectious diseases","Q15109","Olink","Advanced glycosylation end product-specific receptor","0.75 (0.69 0.83)","2.63E-6"
"70.4","Chronic hepatitis","infectious diseases","P12544","Olink","Granzyme A","0.81 (0.74 0.89)","3.08E-3"
"70.4","Chronic hepatitis","infectious diseases","O00626","Olink","C-C motif chemokine 22","0.81 (0.73 0.89)","5.56E-3"
"70.4","Chronic hepatitis","infectious diseases","ENSG00000211777","RNAseq","TRAV3","0.69 (0.63 0.76)","5.42E-11"
"70.4","Chronic hepatitis","infectious diseases","ENSG00000244731","RNAseq","C4A","0.72 (0.66 0.79)","6.88E-10"
"70.4","Chronic hepatitis","infectious diseases","ENSG00000204394","RNAseq","VARS1","1.38 (1.26 1.50)","6.88E-10"
"70.4","Chronic hepatitis","infectious diseases","ENSG00000211789","RNAseq","TRAV12-2","1.41 (1.29 1.54)","7.94E-10"
"70.4","Chronic hepatitis","infectious diseases","ENSG00000137312","RNAseq","FLOT1","1.40 (1.28 1.53)","1.77E-9"
"70.4","Chronic hepatitis","infectious diseases","ENSG00000214894","RNAseq","LINC00243","1.40 (1.27 1.55)","2.40E-8"
"70.4","Chronic hepatitis","infectious diseases","ENSG00000204613","RNAseq","TRIM10","0.75 (0.68 0.81)","6.35E-8"
"70.4","Chronic hepatitis","infectious diseases","ENSG00000137331","RNAseq","IER3","1.37 (1.25 1.51)","7.24E-8"
"70.4","Chronic hepatitis","infectious diseases","ENSG00000211797","RNAseq","TRAV17","0.74 (0.68 0.81)","1.68E-7"
"70.4","Chronic hepatitis","infectious diseases","ENSG00000196230","RNAseq","TUBB","1.39 (1.25 1.54)","5.08E-7"
"70.4","Chronic hepatitis","infectious diseases","ENSG00000211785","RNAseq","TRAV12-1","1.37 (1.24 1.51)","5.56E-7"
